	(1)	(2)	(3)	(4)	(5)	(6)
		agelfted	agelfted		learn	learn
VARIABLES	agelfted	Age Polynomial	Age Dummies	learn	Age Polynomial	Age Dummies
						
drop15	0.423***	0.425***	0.430***	0.048**	0.046*	0.056**
	[0.087]	[0.088]	[0.086]	[0.021]	[0.023]	[0.023]
Constant	85.714**	89.282**	81.278**	-26.127*	-46.160***	-29.923**
	[36.113]	[36.252]	[36.356]	[13.211]	[16.056]	[13.834]
						
Observations	43,599	43,599	43,599	43,599	43,599	43,599
R-squared	0.115	0.116	0.117	0.026	0.128	0.129
Robust standard errors in brackets						
*** p<0.01, ** p<0.05, * p<0.1						
